# Total number of time periods
20
# DataFlag 1=Data, 0=MC
1
# Delta M^2_{32} and uncertainty  (in eV^2)
0.00243  0.00013
# ===============================================================
# First column is time period number, second column is row number
# The nominal period for each set of entries is one week
#
# Row 0 ==>  Start UTC  |  End UTC | Start date and time
# Row 1 ==>  Observed number of events in AD1 to AD6 
# Row 2 ==>  Live time in days for AD1 to AD6
# Row 3 ==>  Muon veto efficiency for AD1 to AD6
# Row 4 ==>  Multiplicity cut efficiency for AD1 to AD6
# Row 5 ==>  6 MeV neutron cut efficiency for AD1 to AD6
# Row 6 ==>  Uncorrelated reactor power uncertainty (relative error in %)
# Row 7 ==>  Total IBD cut efficiency uncertainty (relative error in %)
# Row 8 ==>  Total target mass for AD1 to AD6 (kg)
#### Note: The background estimates are *not* corrected for efficiencies anymore
# Row 9  ==>  Expected number of bkg events per live day (AD1 to AD6)
# Row 10 ==>  Absolute uncertainty on the bkg estimates per live day
# Row 11 ==>  Expected number of accidental events per live day (AD1 to AD6)
# Row 12 ==>  Absolute uncertainty on the accidental bkg per live day
# Row 13 ==>  Expected number of li9/he8 events per live day (AD1 to AD6)
# Row 14 ==>  Absolute uncertainty on the li9/he8 bkg per live day
# Row 15 ==>  Expected number of fast-n events per live day (AD1 to AD6)
# Row 16 ==>  Absolute uncertainty on the fast-n bkg per live day
# Row 17 ==>  Expected number of AmC-corr events per live day (AD1 to AD6)
# Row 18 ==>  Absolute uncertainty on the AmC-corr bkg per live day
# Row 19 ==>  Expected number of alpha-n events per live day (AD1 to AD6)
# Row 20 ==>  Absolute uncertainty on the alpha-n bkg per live day


# ===============================================================
7	20	0.04	0.04	0.03	0.02	0.02	0.02
8	0	1328918400	1329523200	2012-02-11 00:00:00
8	1	3960	4081	3589	542	572	568
8	2	6.6677	6.6677	6.6785	6.5782	6.5782	6.5782
8	3	0.8144	0.8109	0.8466	0.9815	0.9807	0.9808
8	4	0.97563	0.97592	0.97718	0.97593	0.97558	0.97537
8	5	0.88	0.88	0.88	0.88	0.88	0.88
8	6	0.8	0.8	0.8	0.8	0.8	0.8
8	7	0.3	0.3	0.3	0.3	0.3	0.3
8	8	19941	19966	19891	19913	19991	19892
8	9	14.232	14.43	12.672	3.883	3.8855	3.7411
8	10	1.5633	1.563	2.0661	0.37481	0.37499	0.37474
8	11	9.9716	10.18	7.7224	3.073	3.0755	2.9311
8	12	0.25156	0.25303	0.2229	0.17743	0.17781	0.17729
8	13	3	3	4	0.5	0.5	0.5
8	14	1.5	1.5	2	0.25	0.25	0.25
8	15	0.98	0.98	0.7	0.07	0.07	0.07
8	16	0.29	0.29	0.42	0.07	0.07	0.07
8	17	0.2	0.2	0.2	0.2	0.2	0.2
8	18	0.2	0.2	0.2	0.2	0.2	0.2
8	19	0.08	0.07	0.05	0.04	0.04	0.04
8	20	0.04	0.04	0.03	0.02	0.02	0.02
9	0	1329523200	1330128000	2012-02-18 00:00:00
9	1	3998	4080	3696	528	614	549
9	2	6.6082	6.6082	6.6165	6.5388	6.5388	6.5388
9	3	0.8142	0.8103	0.8465	0.9813	0.9804	0.9805
9	4	0.97546	0.97588	0.97715	0.97609	0.97567	0.97557
9	5	0.88	0.88	0.88	0.88	0.88	0.88
9	6	0.8	0.8	0.8	0.8	0.8	0.8
9	7	0.3	0.3	0.3	0.3	0.3	0.3
9	8	19941	19966	19891	19913	19991	19892
9	9	14.248	14.2	12.609	4.0042	3.904	3.8496
9	10	1.5624	1.5618	2.066	0.37502	0.37469	0.37445
9	11	9.988	9.9498	7.6587	3.1942	3.094	3.0396
9	12	0.24603	0.2455	0.22256	0.17788	0.17719	0.17667
9	13	3	3	4	0.5	0.5	0.5
9	14	1.5	1.5	2	0.25	0.25	0.25
9	15	0.98	0.98	0.7	0.07	0.07	0.07
9	16	0.29	0.29	0.42	0.07	0.07	0.07
9	17	0.2	0.2	0.2	0.2	0.2	0.2
9	18	0.2	0.2	0.2	0.2	0.2	0.2
9	19	0.08	0.07	0.05	0.04	0.04	0.04
9	20	0.04	0.04	0.03	0.02	0.02	0.02
10	0	1330128000	1330732800	2012-02-25 00:00:00
10	1	4141	4015	3859	592	592	565
10	2	6.7041	6.7041	6.6901	6.6617	6.6617	6.6617
10	3	0.8142	0.8103	0.8459	0.9811	0.9804	0.9802
10	4	0.97549	0.97591	0.97715	0.97613	0.97593	0.97581
10	5	0.88	0.88	0.88	0.88	0.88	0.88
10	6	0.8	0.8	0.8	0.8	0.8	0.8
10	7	0.3	0.3	0.3	0.3	0.3	0.3
10	8	19941	19966	19891	19913	19991	19892
10	9	14.497	14.346	12.796	3.8487	3.915	3.6727
10	10	1.5623	1.5614	2.066	0.37282	0.37344	0.37188
10	11	10.237	10.096	7.8457	3.0387	3.105	2.8627
10	12	0.24527	0.24271	0.22278	0.1732	0.17452	0.17116
10	13	3	3	4	0.5	0.5	0.5
10	14	1.5	1.5	2	0.25	0.25	0.25
10	15	0.98	0.98	0.7	0.07	0.07	0.07
10	16	0.29	0.29	0.42	0.07	0.07	0.07
10	17	0.2	0.2	0.2	0.2	0.2	0.2
10	18	0.2	0.2	0.2	0.2	0.2	0.2
10	19	0.08	0.07	0.05	0.04	0.04	0.04
10	20	0.04	0.04	0.03	0.02	0.02	0.02
11	0	1330732800	1331337600	2012-03-03 00:00:00
11	1	4044	4192	3850	597	559	508
11	2	6.616	6.616	6.6309	6.533	6.533	6.533
11	3	0.8144	0.8111	0.8469	0.9809	0.9805	0.9802
11	4	0.97562	0.97593	0.9772	0.9762	0.97608	0.97594
11	5	0.88	0.88	0.88	0.88	0.88	0.88
11	6	0.8	0.8	0.8	0.8	0.8	0.8
11	7	0.3	0.3	0.3	0.3	0.3	0.3
11	8	19941	19966	19891	19913	19991	19892
11	9	14.385	14.061	12.521	3.8001	3.848	3.6753
11	10	1.5625	1.5615	2.066	0.37363	0.37404	0.37294
11	11	10.125	9.811	7.5708	2.9901	3.038	2.8653
11	12	0.24657	0.24345	0.22216	0.17493	0.1758	0.17344
11	13	3	3	4	0.5	0.5	0.5
11	14	1.5	1.5	2	0.25	0.25	0.25
11	15	0.98	0.98	0.7	0.07	0.07	0.07
11	16	0.29	0.29	0.42	0.07	0.07	0.07
11	17	0.2	0.2	0.2	0.2	0.2	0.2
11	18	0.2	0.2	0.2	0.2	0.2	0.2
11	19	0.08	0.07	0.05	0.04	0.04	0.04
11	20	0.04	0.04	0.03	0.02	0.02	0.02
12	0	1331337600	1331942400	2012-03-10 00:00:00
12	1	4067	4058	3898	584	587	538
12	2	6.6951	6.6951	6.6665	6.7045	6.7045	6.7045
12	3	0.8145	0.8109	0.8468	0.981	0.9805	0.9804
12	4	0.97562	0.97593	0.97728	0.97633	0.97621	0.97602
12	5	0.88	0.88	0.88	0.88	0.88	0.88
12	6	0.8	0.8	0.8	0.8	0.8	0.8
12	7	0.3	0.3	0.3	0.3	0.3	0.3
12	8	19941	19966	19891	19913	19991	19892
12	9	14.223	14.125	12.684	3.7544	3.6346	3.6866
12	10	1.5618	1.5613	2.0659	0.37164	0.37094	0.37142
12	11	9.9635	9.8746	7.734	2.9444	2.8246	2.8766
12	12	0.24251	0.24221	0.2215	0.17064	0.16911	0.17015
12	13	3	3	4	0.5	0.5	0.5
12	14	1.5	1.5	2	0.25	0.25	0.25
12	15	0.98	0.98	0.7	0.07	0.07	0.07
12	16	0.29	0.29	0.42	0.07	0.07	0.07
12	17	0.2	0.2	0.2	0.2	0.2	0.2
12	18	0.2	0.2	0.2	0.2	0.2	0.2
12	19	0.08	0.07	0.05	0.04	0.04	0.04
12	20	0.04	0.04	0.03	0.02	0.02	0.02
13	0	1331942400	1332547200	2012-03-17 00:00:00
13	1	4085	4133	3753	633	536	560
13	2	6.5724	6.5724	6.5104	6.454	6.454	6.454
13	3	0.8138	0.8107	0.8466	0.981	0.9806	0.9803
