#ToyEvents in each AD
0 7425250.363562
#Events in each cell for AD 0 
3 2 4 5430.214660 
3 2 5 5347.826812 
3 2 6 5213.660452 
3 2 7 6197.989513 
3 2 8 28915.861910 
3 2 9 122134.742183 
3 3 0 80541.726141 
3 3 1 26607.599572 
3 3 2 8577.507116 
3 3 3 7343.443718 
3 3 4 7373.778893 
3 3 5 7637.709033 
3 3 6 7510.214704 
3 3 7 8476.211488 
3 3 8 34005.575357 
3 3 9 130066.785301 
3 4 0 99018.244177 
3 4 1 38040.007088 
3 4 2 19671.482101 
3 4 3 18674.172448 
3 4 4 19111.220256 
3 4 5 20058.192840 
3 4 6 19403.056704 
3 4 7 20725.530771 
3 4 8 45808.832577 
3 4 9 138643.487933 
3 5 0 122798.325783 
3 5 1 65485.519975 
3 5 2 50354.696139 
3 5 3 49917.291560 
3 5 4 51005.052667 
3 5 5 51448.117953 
3 5 6 52363.848493 
3 5 7 51528.342061 
3 5 8 74714.922424 
3 5 9 149521.242811 
3 6 0 143302.567378 
3 6 1 118340.303762 
3 6 2 110576.394093 
3 6 3 111446.726033 
3 6 4 115427.704266 
3 6 5 114774.674253 
3 6 6 113948.348517 
3 6 7 115310.033155 
3 6 8 127686.680468 
3 6 9 155861.803313 
3 7 0 154154.358147 
3 7 1 152315.342420 
3 7 2 148847.022312 
3 7 3 153794.966917 
3 7 4 158698.830286 
3 7 5 160157.261596 
3 7 6 155882.771655 
3 7 7 154400.161940 
3 7 8 158058.881797 
3 7 9 152234.163036 
3 8 0 143596.599746 
3 8 1 148940.084034 
3 8 2 150483.336038 
3 8 3 155414.020708 
3 8 4 163465.494517 
3 8 5 167835.750447 
3 8 6 159886.167890 
3 8 7 154122.992362 
3 8 8 152660.112726 
3 8 9 138416.538877 
3 9 0 88944.492013 
3 9 1 90940.007218 
3 9 2 92873.650561 
3 9 3 99967.362894 
3 9 4 103228.687486 
3 9 5 105392.801874 
3 9 6 97845.000131 
3 9 7 93815.316825 
3 9 8 92447.572068 
3 9 9 82081.340375 
#ToyEvents in each AD
4 7425250.363562 
#Events in each cell for AD 4 
4 0 0 31679.189434 
4 0 1 15154.557813 
4 0 2 5965.715456 
4 0 3 4708.179513 
4 0 4 4728.125166 
4 0 5 4693.570208 
4 0 6 4809.641863 
4 0 7 5605.554155 
4 0 8 20178.194847 
4 0 9 86834.154327 
4 1 0 47369.737064 
4 1 1 20026.734334 
4 1 2 6355.576463 
4 1 3 5153.105456 
4 1 4 5120.302264 
4 1 5 5044.613494 
4 1 6 5143.197655 
4 1 7 6129.944426 
4 1 8 25557.620301 
4 1 9 109852.342722 
4 2 0 62519.260310 
4 2 1 23639.788414 
4 2 2 6464.700836 
4 2 3 5267.799289 
4 2 4 5430.214660 
4 2 5 5347.826812 
4 2 6 5213.660452 
4 2 7 6197.989513 
4 2 8 28915.861910 
4 2 9 122134.742183 
4 3 0 80541.726141 
4 3 1 26607.599572 
4 3 2 8577.507116 
4 3 3 7343.443718 
4 3 4 7373.778893 
4 3 5 7637.709033 
4 3 6 7510.214704 
4 3 7 8476.211488 
4 3 8 34005.575357 
4 3 9 130066.785301 
4 4 0 99018.244177 
4 4 1 38040.007088 
4 4 2 19671.482101 
4 4 3 18674.172448 
4 4 4 19111.220256 
4 4 5 20058.192840 
4 4 6 19403.056704 
4 4 7 20725.530771 
4 4 8 45808.832577 
4 4 9 138643.487933 
4 5 0 122798.325783 
4 5 1 65485.519975 
4 5 2 50354.696139 
4 5 3 49917.291560 
4 5 4 51005.052667 
4 5 5 51448.117953 
4 5 6 52363.848493 
4 5 7 51528.342061 
4 5 8 74714.922424 
4 5 9 149521.242811 
4 6 0 143302.567378 
4 6 1 118340.303762 
4 6 2 110576.394093 
4 6 3 111446.726033 
4 6 4 115427.704266 
4 6 5 114774.674253 
4 6 6 113948.348517 
4 6 7 115310.033155 
4 6 8 127686.680468 
4 6 9 155861.803313 
4 7 0 154154.358147 
4 7 1 152315.342420 
4 7 2 148847.022312 
4 7 3 153794.966917 
4 7 4 158698.830286 
4 7 5 160157.261596 
4 7 6 155882.771655 
4 7 7 154400.161940 
4 7 8 158058.881797 
4 7 9 152234.163036 
4 8 0 143596.599746 
4 8 1 148940.084034 
4 8 2 150483.336038 
4 8 3 155414.020708 
4 8 4 163465.494517 
4 8 5 167835.750447 
4 8 6 159886.167890 
4 8 7 154122.992362 
4 8 8 152660.112726 
4 8 9 138416.538877 
4 9 0 88944.492013 
4 9 1 90940.007218 
4 9 2 92873.650561 
4 9 3 99967.362894 
4 9 4 103228.687486 
4 9 5 105392.801874 
4 9 6 97845.000131 
4 9 7 93815.316825 
4 9 8 92447.572068 
4 9 9 82081.340375 
#ToyEvents in each AD
5 7425250.363562 
#Events in each cell for AD 5 
5 0 0 31679.189434 
5 0 1 15154.557813 
5 0 2 5965.715456 
5 0 3 4708.179513 
5 0 4 4728.125166 
5 0 5 4693.570208 
5 0 6 4809.641863 
5 0 7 5605.554155 
5 0 8 20178.194847 
5 0 9 86834.154327 
5 1 0 47369.737064 
5 1 1 20026.734334 
5 1 2 6355.576463 
5 1 3 5153.105456 
5 1 4 5120.302264 
5 1 5 5044.613494 
5 1 6 5143.197655 
5 1 7 6129.944426 
5 1 8 25557.620301 
5 1 9 109852.342722 
5 2 0 62519.260310 
5 2 1 23639.788414 
5 2 2 6464.700836 
5 2 3 5267.799289 
5 2 4 5430.214660 
5 2 5 5347.826812 
5 2 6 5213.660452 
5 2 7 6197.989513 
5 2 8 28915.861910 
5 2 9 122134.742183 
5 3 0 80541.726141 
5 3 1 26607.599572 
5 3 2 8577.507116 
5 3 3 7343.443718 
5 3 4 7373.778893 
5 3 5 7637.709033 
5 3 6 7510.214704 
5 3 7 8476.211488 
5 3 8 34005.575357 
5 3 9 130066.785301 
5 4 0 99018.244177 
5 4 1 38040.007088 
5 4 2 19671.482101 
5 4 3 18674.172448 
5 4 4 19111.220256 
5 4 5 20058.192840 
5 4 6 19403.056704 
5 4 7 20725.530771 
5 4 8 45808.832577 
5 4 9 138643.487933 
5 5 0 122798.325783 
5 5 1 65485.519975 
5 5 2 50354.696139 
5 5 3 49917.291560 
5 5 4 51005.052667 
5 5 5 51448.117953 
5 5 6 52363.848493 
5 5 7 51528.342061 
5 5 8 74714.922424 
5 5 9 149521.242811 
5 6 0 143302.567378 
5 6 1 118340.303762 
5 6 2 110576.394093 
5 6 3 111446.726033 
5 6 4 115427.704266 
5 6 5 114774.674253 
5 6 6 113948.348517 
5 6 7 115310.033155 
5 6 8 127686.680468 
5 6 9 155861.803313 
5 7 0 154154.358147 
5 7 1 152315.342420 
5 7 2 148847.022312 
5 7 3 153794.966917 
5 7 4 158698.830286 
5 7 5 160157.261596 
5 7 6 155882.771655 
5 7 7 154400.161940 
5 7 8 158058.881797 
5 7 9 152234.163036 
5 8 0 143596.599746 
5 8 1 148940.084034 
5 8 2 150483.336038 
5 8 3 155414.020708 
5 8 4 163465.494517 
5 8 5 167835.750447 
5 8 6 159886.167890 
5 8 7 154122.992362 
5 8 8 152660.112726 
5 8 9 138416.538877 
5 9 0 88944.492013 
5 9 1 90940.007218 
5 9 2 92873.650561 
5 9 3 99967.362894 
5 9 4 103228.687486 
5 9 5 105392.801874 
5 9 6 97845.000131 
5 9 7 93815.316825 
5 9 8 92447.572068 
5 9 9 82081.340375 
